Comedian,Char Length,Word Length,Joke
Trevor Noah,251,42,There are many debates in life that don't really have answers. Could LeBron have beaten Michael Jordan? Could Mike Tyson have beaten Muhammad Ali? Could Bert beat Ernie I know they're friends? I know they're friends but there's real anger there folks.
Trevor Noah,117,22,Could Donald Trump have beaten Obama in a race? Not a footrace. We know the answer to that question: a campaign race.
Trevor Noah,134,24,"This weekend, with just eight days, with just eight weeks. Non eight days. You guys like "" eight days away? It's not eight days away."""
Trevor Noah,109,19,It's on President Obama versus President Trump. The leader versus the tweeter. Yes We Can versus way too tan.
Trevor Noah,102,18,And you know Donald Trump's not gonna stand by and let someone take credit for their own achievements.
Trevor Noah,182,39,"Yes I guess this is exciting. The same way I was exciting to be on the plane that Sully landed on the Hudson River. It was like ""I think we are gonna die, but it's gonna be a movie!"""
Trevor Noah,80,14,They couldn't be more different. It's like night and day like ebony and Anarchy.
Trevor Noah,85,13,"""California has just become one really large person."" What you talking about Willies?"
Trevor Noah,176,33,"I've heard a lot of criticism about Obamacare but I can safely say I've never heard that it's gonna morph estates into a very giant person, like, like what does that even mean?"
Trevor Noah,132,27,"I hate to say it but Donald Trump is right Obama is great for sleeping because when he was president we all slept so good, so good. "
Trevor Noah,271,53,But now that Trump's in charge we all lie in bed awake every night trying to figure out how the (beep) California turned into a giant man. Does he get one vote in the Senate. All the people inside of him did they leave before it happened? So many questions I can't sleep!
Trevor Noah,127,26,"Yo, yo. I could honestly listen to Trump try to say ""anomynish"" for the rest of my life. It sounds like a dope new Migos track."
Trevor Noah,135,24,"Yeah, Obama's got a good point. Just say it Trump.  ""Yes, Nashis are...  Sorry, Nashis are... I guess there's fine people on both sides."""
Trevor Noah,180,31,"Yeah. Obama should just be out there, like, ""Uh, this guy, uh, can't even say 'anonymous'. Uh, I remember when presidents could speak the language of the countries they were from."""
Trevor Noah,420,75,"He should just roast him! He should,  he should just be like, be like, ""Uh, Trump- Trump's presidency, such a disaster. It makes me glad I still have my Kenyan citizenship. Uh, and, uh, and did you folks read the op-ed? Uh, nobody respects this guy. Uh, I bet they don't even take his orders at the McDonald's drive-through. Uh, He says, 'Uh, I'll have the chicken McNuggets. They say, 'bitch you're getting the salad.'"""
Jimmy Kimmel,385,76,"I WANT TO APOLOGIZE. WE HAD SO MUCH FUN STUFF PLANNED FOR YOU TONIGHT. WE WORKED ON IT ALL DAY. WE HAD A ""BACHELOR IN PARADISE,"" KIDS GOING BACK TO SCHOOL. WE WERE GOING TO TALK ABOUT -- THERE'S A HORRIBLE NEW PAIR OF UGGS WE WERE GOING TO DISCUSS. I EVEN THOUGHT HEY, MAYBE WE WON'T TALK ABOUT DONALD TRUMP MUCH TONIGHT. AND THEN HE OPENED HIS MOUTH AND ALL MANNER OF STUPID CAME OUT."
Jimmy Kimmel,119,22,AND I'M NOT JOKING WHEN I SAY I WOULD FEEL MORE COMFORTABLE IF CERSEI LANNISTER WAS RUNNING THIS COUNTRY AT THIS POINT.
Jimmy Kimmel,260,45,"IT STARTED -- IT WAS SUPPOSED TO BE A PRESS CONFERENCE ABOUT INFRASTRUCTURE, AND IT ENDED WITH OUR PRESIDENT MAKING AN ANGRY AND PASSIONATE DEFENSE OF WHITE SUPREMACISTS. IT WAS LIKE IF YOUR BOOK CLUB MEETING TURNED INTO A COCK FIGHT. IT REALLY WAS REMARKABLE."
Jimmy Kimmel,107,21,LIKE THE FACT THAT TED CRUZ'S FATHER KILLED JFK AND OBAMA WAS BORN IN KENYA. HE'S A STICKLER FOR THE FACTS.
Jimmy Kimmel,272,48,"AND BY THE WAY, TODAY DAVID DEUX, WHO IS A VERY FINE FORMER GRAND WIZARD OF THE KKK, TWEETED ""THANK YOU PRESIDENT TRUMP FOR YOUR HONESTY AND COURAGE TO TELL THE TRUTH ABOUT CHARLOTTESVILLE."" WHEN DAVID DUKE THANKS YOU FOR YOUR HONESTY AND COURAGE, SOMETHING HAS GONE AWRY."
Jimmy Kimmel,241,47,"THIS IS SO CRAZY. EVERYBODY'S BEEN ASKING, YOU THINK TRUMP'S GOING TO LAST FOUR YEARS? I'M WONDERING NOW IF ANY OF US ARE GOING TO LAST FOUR YEARS. THIS IS -- I HAVEN'T SCREAMED AT MY TV THIS MUCH SINCE McDREAMY DIED REALLY IS THE LAST TIME."
Jimmy Kimmel,246,41,"AND SO THIS GUY SHOWS UP RIDING DOWN A GOLDEN ESCALATOR. HE'S NOT PART OF THE POLITICAL ESTABLISHMENT. IN FACT, HE'S THE OPPOSITE OF THAT. HE'S A BILLIONAIRE. MAYBE. HE'S WRITTEN BOOKS. HE'S NOT POLITICALLY CORRECT. HE'S NOT EVEN CORRECT USUALLY."
Jimmy Kimmel,182,32,"AND THEN HE BEATS THE ULTIMATE POLITICAL INSIDER, HILLARY CLINTON, A WOMAN WHO'S BEEN RUNNING FOR OFFICE -- A WOMAN WHO RAN FOR PRESIDENT OF HER MOTHER'S UTERUS IN THE WOMB. FOREVER."
Jimmy Kimmel,139,29,AND THAT'S JUST SOME OF THE LIST. IF I WENT THROUGH ALL OF IT IT WOULD BE LONGER THAN THE MENU AT THE CHEESECAKE FACTORY. IT WOULD BE HUGE.
Jimmy Kimmel,138,27,AND IT ISN'T GETTING BETTER. IT'S GETTING WORSE. SO YOU CAN DO ONE OF TWO THINGS. YOU CAN DIG IN LIKE CHRIS CHRISTIE AT A HOMETOWN BUFFET.
Jimmy Kimmel,224,41,"AND I'M ASKING YOU, THE PEOPLE WHO SUPPORTED DONALD TRUMP, TO STEP IN AND HELP FOR THE GOOD OF THIS COUNTRY. MIKE PENCE IS READY. HE'S BORING. HE'S RELATIVELY SANE. HE LOOKS LIKE A NEIGHBOR YOU MIGHT BORROW A LAWNMOWER FROM."
Michelle Wolf,68,12,I've never had an entrance make me feel like a magician before.					
Michelle Wolf,98,14, I am very excited to be here in London. This is exciting for me.                                 
Michelle Wolf,208,32,"I was kind of embarrassed about what was happening back home in America, and then I saw what was happening here and I was like, ""Hey, ""you guys are falling apart too!""                                         "
Michelle Wolf,481,99,"""you guys are falling apart too!"" I really, I truly feel bad for Hillary Clinton because no-one likes her. Like, I voted for her, but I don't like her.Like, if she came up to talk to me at a party, I'd be like, ""I'm sorry, I have to go to the bathroom."" And then if she tried to talk to me in the bathroom, I'd be like, ""I'm sorry, I have to use the men's room.""I just made a life choice.""But you shouldn't like Hillary. She is a bitch. You have to be a bitch to be that powerful."
Michelle Wolf,273,41,We're never going to have a nice lady run for president.You guys had Margaret Thatcher.You didn't call her the Nice Lady.You called the Iron Lady.I don't think that's a word you'd use to describe someone that's fun to hang out with.                                         
Michelle Wolf,310,50," that's fun to hang out with. We're never going to have a nice lady, we're never going to have a woman that's like,""Um, I'd like to be president...""I was a sociology major, ""and I was in a sorority.""And I love brunch.""You can check out my policies on my Pinterest page.""                                        "
Michelle Wolf,257,49," People say you can't make fun of what she wears because she's a woman.  I think you can because it's fun to do.Why are her jackets so big? If any male candidate dressed like her, we would be like,""Why are you dressing like Kim Jong-Un?"" Be a shape. 					"
